title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
GEM: GPU-accelerated emulator-inspired RTL simulation,"Z Guo, Y Zhang, R Wang, Y Lin…",2025,7,"… , and while FPGA-based emulators offer acceleration, they are … GPU-accelerated RTL simulator, GEM, that addresses the fundamental mismatch between circuit simulation and GPU …",DJUuFA6H3SgJ,"Z Guo, Y Zhang, R Wang, Y Lin… - 2025 62nd ACM/IEEE …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11132713/,unknown,unknown
Accelerating rtl simulation with hardware-software co-design,"F Elsabbagh, S Sheikhha, VA Ying…",2023,32,"… cores, GPU cores, and accelerators. Our contributions make … systems, including parallel simulators and FPGA emulators. … CraterLake: a hardware accelerator for efficient unbounded …",JaOz8HDAnosJ,"F Elsabbagh, S Sheikhha, VA Ying… - Proceedings of the 56th …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3613424.3614257,unknown,unknown
Khronos: Fusing memory access for improved hardware rtl simulation,"K Zhou, Y Liang, Y Lin, R Wang, R Huang",2023,22,"… timing of an FPGA host platform from that of the target RTL design, enabling … GPU requires high regularity of the computation, making accelerating single-stimuli RTL simulation on GPU …",J0Z6JwxcGMoJ,"K Zhou, Y Liang, Y Lin, R Wang, R Huang - … of the 56th Annual IEEE/ACM …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3613424.3614301,unknown,unknown
Gem5+ rtl: A framework to enable rtl models inside a full-system simulator,"G López-Paradís, A Armejach, M Moretó",2021,30,… the NVIDIA Deep Learning Accelerator (NVDLA) accelerator. … specially designed for FPGAbased accelerators and is less … the integration of a hardware accelerator into the architecture …,lkjyVRAGmDQJ,"G López-Paradís, A Armejach, M Moretó - Proceedings of the 50th …, 2021 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3472456.3472461,unknown,unknown
Accelerating loop-oriented rtl simulation with code instrumentation,"F Mao, Y Guo, X Liao, H Jin, W Zhang…",2023,2,"… The hardware acceleration approach with RTL simulation mainly used hardware such as FPGA, GPU [15] and hardware … factor of hardware-accelerated general cases, such as GPU…",QZH2aMiF4FsJ,"F Mao, Y Guo, X Liao, H Jin, W Zhang… - … on Computer-Aided …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10128151/,unknown,unknown
FPGA based acceleration of a particle simulation High performance computing application,A Conte,2019,1,… in RTL (VHDL or Verilog) models suitable to program FPGAs. … and a variety of hardware accelerators to speed up the ex… into accelerators (devices) as GPUs or FPGAs (actually FPGAs …,iLNss98-bskJ,A Conte - 2019 - webthesis.biblio.polito.it,[],https://webthesis.biblio.polito.it/10990/?template=default,unknown,unknown
Automatic Generation of Cycle-Accurate Timing Models from RTL for Hardware Accelerators,"Y Zeng, A Gupta, S Malik",2024,0,… simulation over RTL simulation for a range of accelerators. … GPUs have also been used for accelerating RTL simulations [… : FPGA-accelerated cycle-exact scaleout system simulation …,cufTpHOAmT0J,"Y Zeng, A Gupta, S Malik - Proceedings of the 43rd IEEE/ACM …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3676536.3676657,unknown,unknown
Manticore: Hardware-accelerated RTL simulation with static bulk-synchronous parallelism,"M Emami, S Kashani, K Kamahori…",2023,27,… -core FPGA implementation running at 475 MHz outperforms a state-of-the-art RTL simulator … RTLFlow [32] is a GPU-accelerated RTL simulator that exploits stimulus-level parallelism to …,y9GFE8Fa_LwJ,"M Emami, S Kashani, K Kamahori… - Proceedings of the 28th …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3623278.3624750,unknown,unknown
From rtl to cuda: A gpu acceleration flow for rtl simulation with batch stimulus,"DL Lin, H Ren, Y Zhang, B Khailany…",2022,69,"… RTLFlow, a GPU-accelerated RTL simulation flow with batch stimulus. RTLflow first transpiles RTL into CUDA kernels that each simulates a partition of the RTL simultaneously across …",WRqQBxCjx4gJ,"DL Lin, H Ren, Y Zhang, B Khailany… - Proceedings of the 51st …, 2022 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3545008.3545091,unknown,unknown
Opportunities for RTL and gate level simulation using GPUs,"Y Zhang, H Ren, B Khailany",2020,25,"… method used by commercial simulation tools. While GPU accelerated simulation is a challenging … of the topic, and newer GPU hardware, which have optimizations that directly boost …",ph-0A6yITnIJ,"Y Zhang, H Ren, B Khailany - … of the 39th International Conference on …, 2020 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3400302.3415773,unknown,unknown
ALAMO: FPGA acceleration of deep learning algorithms with a modularized RTL compiler,"Y Ma, N Suda, Y Cao, S Vrudhula, J Seo",2018,130,"… hardware-level design (ie, RTL) can improve the efficiency and achieve greater acceleration but … compiler solution for modularized and scalable hardware acceleration of deep learning. …",EUdavkEMlKwJ,"Y Ma, N Suda, Y Cao, S Vrudhula, J Seo - Integration, 2018 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0167926017304777,unknown,unknown
Centrifuge: Evaluating full-system HLS-generated heterogenous-accelerator SoCs using FPGA-acceleration,"Q Huang, C Yarp, S Karandikar…",2019,26,"… open-source FireSim FPGA-accelerated simulation platform: 1) … section, we generate accelerator RTL by taking advantage of … of an application to a hardware accelerator in Centrifuge …",Nkgi-Hqm6hAJ,"Q Huang, C Yarp, S Karandikar… - 2019 IEEE/ACM …, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8942048/,unknown,unknown
A case for accelerating software RTL simulation,S Beamer,2020,30,"… (eg, transaction-accurate simulation) or hardware acceleration (eg, FPGA emulation). As such, cycle-accurate RTL simulation performed by software is still the most commonly used tool …",rCLdteTAceQJ,"S Beamer - IEEE Micro, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9099598/,unknown,unknown
GSIM: Accelerating RTL Simulation for Large-Scale Designs,"L Chen, D Zhao, Z Yu, N Sun…",2025,0,"… In this work, we explore the sources of computation overhead of RTL simulation and … to RTL simulation: software simulation, FPGA prototyping, and hardware emulation. Among …",Y-qAVt7lI3IJ,"L Chen, D Zhao, Z Yu, N Sun… - 2025 62nd ACM/IEEE …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11133142/,unknown,unknown
FASED: FPGA-accelerated simulation and evaluation of DRAM,"D Biancolin, S Karandikar, D Kim, J Koenig…",2019,55,… We validated the LLC model in RTL simulation backed with a latency bandwidth pipe. We generated trace-based microbenchmarks and measured cache behavior for a set of generated …,MNZi0YGf5ZkJ,"D Biancolin, S Karandikar, D Kim, J Koenig… - Proceedings of the …, 2019 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3289602.3293894,unknown,unknown
An efficient RTL buffering scheme for an FPGA-accelerated simulation of diffuse radiative transfer,"K Furukawa, R Kobayashi, T Yokono…",2021,2,"… RTL-FPGA design, and which can achieve a maximum of 1.75x improvement over GPU. … Due to this presumption, we decided to use FPGAs instead of GPUs for the ART accelerator. …",18zxCWNcQfkJ,"K Furukawa, R Kobayashi, T Yokono… - … Conference on Field …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9609944/,unknown,unknown
Building Chips Faster: Hardware-Compiler Co-Design for Accelerated RTL Simulation,S Kashani,2023,1,"… FPGA prototype of Manticore greatly increases parallel RTL … In summary, interest in hardware accelerators has grown as … GPU—is not a viable platform for accelerated single-instance …",FvWSb9ti6sgJ,S Kashani - 2023 - infoscience.epfl.ch,[],https://infoscience.epfl.ch/entities/publication/5ed19f7a-5377-4c84-a758-7cacd787f93f,unknown,unknown
Debugging RISC-V processors with FPGA-accelerated RTL simulation in the FPGA cloud,"D Kim, C Celio, S Karandikar, D Biancolin…",2018,7,"… FPGA-accelerated RTL Simulation: We build upon earlier work in FPGA-accelerated RTL simulators to accelerate RTL … We extend the Strober energy simulation framework [13], which …",4bUkKaWzuPMJ,"D Kim, C Celio, S Karandikar, D Biancolin… - Appears in the 2nd …, 2018 - carrv.github.io",[],https://carrv.github.io/2018/papers/CARRV_2018_paper_10.pdf,unknown,unknown
Dynamic scheduler implementation used for load distribution between hardware accelerators (RTL) and software tasks (CPU) in heterogeneous systems: CA Tănase,CA Tănase,2020,3,… A study of the potential of FPGAs and GPUs to accelerate … processing tasks between a hardware accelerator and a CPU … Simulation experiments evaluate the performance and the run-…,u1GAyL1WVIsJ,"CA Tănase - The Journal of Supercomputing, 2020 - Springer",[],https://link.springer.com/article/10.1007/s11227-020-03242-w,unknown,unknown
Automatic RTL Generation Tool of FPGAs for DNNs,"S Jang, W Liu, S Park, Y Cho",2022,4,"… CPU and GPU, neglecting DNN inference delay on FPGAs. … The RTL simulation results for a 32 bits × 32 bits Vedic … -performance dnn hardware accelerators for fpgas. In Proceedings of …",5J_tFrvfysEJ,"S Jang, W Liu, S Park, Y Cho - Electronics, 2022 - mdpi.com",[],https://www.mdpi.com/2079-9292/11/3/402,unknown,unknown
