title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
From rtl to cuda: A gpu acceleration flow for rtl simulation with batch stimulus,"DL Lin, H Ren, Y Zhang, B Khailany…",2022,69,… via RTL partitioning to support multi-threading. ESSENT [9] is a single-threaded simulator … We introduce a GPU-aware RTL graph partitioning algorithm atop the modern CUDA Graph …,WRqQBxCjx4gJ,"DL Lin, H Ren, Y Zhang, B Khailany… - … Conference on Parallel …, 2022 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3545008.3545091,unknown,unknown
Parendi: Thousand-Way Parallel RTL Simulation,"M Emami, T Bourgeat, JR Larus",2025,9,"… partitioning and compilation techniques and carefully quantified the synchronization, communication, and computation costs of parallel RTL simulation… and best multi-thread …",wv5tGI56PjkJ,"M Emami, T Bourgeat, JR Larus - Proceedings of the 30th ACM …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3676641.3716010,unknown,unknown
BatchSim: parallel RTL simulation using inter-cycle batching and task graph parallelism,"J Tong, L Chang, UY Ogras…",2024,16,… RepCut[7] employ multithreaded simulations by partitioning the RTL computation graph and … significant benefits from parallel simulation because the relative costs of multithreading and …,EYN8Rnml0VAJ,"J Tong, L Chang, UY Ogras… - 2024 IEEE Computer …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10682648/,unknown,unknown
Fast behavioural RTL simulation of 10B transistor SoC designs with metro-mpi,"G López-Paradís, B Li, A Armejach…",2023,20,… methodology to distribute RTL simulation and unlock SoCs’ … practices in parallel programming from HPC to partition well-… simulations in parallel on different cores; for multithreading we …,1fsd1GqTveUJ,"G López-Paradís, B Li, A Armejach… - … , Automation & Test …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10137080/,unknown,unknown
FireAxe: partitioned FPGA-accelerated simulation of large-scale RTL designs,"J Whangbo, E Lim, CL Zhang…",2024,7,"… work to identify the synergy of multithreaded simulation and partitioning, which can be used to … as enabling each FPGA partition to run a single cycle in parallel before they produce an …",1XE67u0E3YkJ,"J Whangbo, E Lim, CL Zhang… - 2024 ACM/IEEE 51st …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10609699/,unknown,unknown
Highly Parallel RTL Simulation,S Emami,2024,4,"… A crucial recent addition to Verilator v4.0 is the multi-thread C++ models that can run on the … atoms of a related partitioning problem (not graph partitioning). In this problem, we aim to …",C79gayWdytIJ,S Emami - 2024 - infoscience.epfl.ch,[],https://infoscience.epfl.ch/entities/publication/20d90cf6-6b6d-485c-8952-09a581eaf5b4,unknown,unknown
Repcut: Superlinear parallel rtl simulation with replication-aided partitioning,"H Wang, S Beamer",2023,34,"… Despite the parallel nature of hardware, existing parallel RTL simulators yield speedups … parallel RTL simulation methodology. RepCut is enabled by our replication-aided partitioning …",ON-vw1ZssV4J,"H Wang, S Beamer - Proceedings of the 28th ACM International …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3582016.3582034,unknown,unknown
Manticore: Hardware-accelerated RTL simulation with static bulk-synchronous parallelism,"M Emami, S Kashani, K Kamahori…",2023,27,"… We report both serial (S) and multithreaded (MT) simulation rates separately for each … time is spent partitioning the DAG. Partitioning is necessary for parallel RTL simulation, irrespective …",y9GFE8Fa_LwJ,"M Emami, S Kashani, K Kamahori… - Proceedings of the 28th …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3623278.3624750,unknown,unknown
Accelerating rtl simulation with hardware-software co-design,"F Elsabbagh, S Sheikhha, VA Ying…",2023,32,"… We present ASH, a parallel architecture tailored to simulation … are typical for Verilator’s multithreaded simulations [57, 58]. … this partitioning, minimizing the sum of cross-partition edge …",JaOz8HDAnosJ,"F Elsabbagh, S Sheikhha, VA Ying… - Proceedings of the 56th …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3613424.3614257,unknown,unknown
Task Scheduling Techniques to Accelerate RTL Simulation,S Sheikhha,2023,0,"… We present ASH, a parallel architecture tailored to simulation … – Partition: We design novel teqhniques to partition work into … are typical for Verilator’s multithreaded simulations [53,54]. …",pqEA47IVDqoJ,S Sheikhha - 2023 - dspace.mit.edu,[],https://dspace.mit.edu/handle/1721.1/164507,unknown,unknown
Don't Repeat Yourself! Coarse-Grained Circuit Deduplication to Accelerate RTL Simulation,"H Wang, T Nijssen, S Beamer",2024,9,… cations of parallel runs of different RTL simulations have not … partition a single instance and then apply this partitioning to … × speedup compared to the multithreaded Verilator. Manticore […,NQLL3niazLoJ,"H Wang, T Nijssen, S Beamer - … of the 29th ACM International Conference …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3622781.3674184,unknown,unknown
Auto-partitioning heterogeneous task-parallel programs with streamblocks,"M Emami, E Bezati, JW Janneck, JR Larus",2022,12,"… metrics: (i) modeling pure execution time within and across partitions, and (ii) … multi-threaded partition with 4 cores may use the same set of hardware actors as a multi-threaded partition …",BrC53NWEB4YJ,"M Emami, E Bezati, JW Janneck, JR Larus - … Conference on Parallel …, 2022 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3559009.3569659,unknown,unknown
Parallel multithread analysis of extremely large simulation traces,"D Appello, P Bernardi, A Calabrese, G Pollaccia…",2022,7,"… different file partitions with different threads in parallel, we … lyze in parallel a more significant number of small partitions, … to make partition starting synchronously with simulation time …",JBedK1yKyLQJ,"D Appello, P Bernardi, A Calabrese, G Pollaccia… - IEEE …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9780411/,unknown,unknown
CPGPUSim: A Multi-dimensional Parallel Acceleration Framework for RTL Simulation,"X Tian, C Yue, Y Pi, T Li, W Qu",2024,0,"… CPGPU RTL simulation framework, which is a simulator generator. … list simulation costs with different setting of max partition size … The largest partition size and the number of partitions …",gIPfDO4npksJ,"X Tian, C Yue, Y Pi, T Li, W Qu - 2024 2nd International …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10618075/,unknown,unknown
Pasta: Programming and automation support for scalable task-parallel hls programs on modern multi-die fpgas,"M Khatti, X Tian, A Sedigh Baroughi…",2024,19,"… integrates in the multi-threaded simulator of the task-parallel HLS programming framework … If partitioning was requested, parallel access can be made to this array and under the hood …",f-72thI22tEJ,"M Khatti, X Tian, A Sedigh Baroughi… - ACM Transactions on …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3676849,unknown,unknown
Khronos: Fusing memory access for improved hardware rtl simulation,"K Zhou, Y Liang, Y Lin, R Wang, R Huang",2023,22,"… Verilator [37] assigns RTL statements to multiple threads for parallel simulation. … , multi-threading is effective as it can partition them into small pieces and simulate in multiple threads. …",J0Z6JwxcGMoJ,"K Zhou, Y Liang, Y Lin, R Wang, R Huang - … of the 56th Annual IEEE/ACM …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3613424.3614301,unknown,unknown
Tarortl: Accelerating rtl simulation using coroutine-based heterogeneous task graph scheduling,"DL Lin, U Ogras, JS Miguel, TW Huang",2024,27,"… multi-threaded algorithm, achieving optimal performance with 8-10 CPU cores. RepCut [13] improves upon this by partitioning … multiple independent input stimuli in parallel on a GPU, …",ilwYzo4kj4AJ,"DL Lin, U Ogras, JS Miguel, TW Huang - European Conference on Parallel …, 2024 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-69583-4_11,unknown,unknown
A Scalable Code Generation Flow for Heterogeneous Parallel RTL Simulation using MLIR,"J Tong, Z Li, UY Ogras…",2025,3,… -set-based partitioning to enable multithreaded execution. … parallel RTL simulators for heterogeneous deep learning accelerator SoCs. • We develop an architecture-aware partitioning …,7VRwJy0sLrkJ,"J Tong, Z Li, UY Ogras… - 2025 IEEE High …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11196471/,unknown,unknown
Accelerating RTL Simulation Through Fine-grained Task Dataflow and Selective Execution,F Elsabbagh,2023,0,"… , a parallel architecture tailored to RTL simulation workloads. … are typical for Verilator’s multithreaded simulations [53,54]. This … this partitioning, minimizing the sum of crosspartition edge …",HbvLOv2N2PAJ,F Elsabbagh - 2023 - dspace.mit.edu,[],https://dspace.mit.edu/handle/1721.1/164508,unknown,unknown
Improving FPGA Simulation Capacity with Automatic Resource Multi-Threading,AF Magyar,2021,2,… will rely on serialization of the implementation relative to this parallel baseline. As discussed … rely on primitive LI-BDNs to simulate individual partitions of the target design. To relate this …,9kVTme6qZ4YJ,AF Magyar - 2021 - search.proquest.com,[],https://search.proquest.com/openview/197ba4576377e1f2fe4577291cf900ff/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
