title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Event-driven gate-level simulation with GP-GPUs,"D Chatterjee, A DeOrio, V Bertacco",2009,138,"… Our simulator leverages a gate-level event-driven design to … During the compilation phase, a netlist is “levelized”, that is, … a kernel, the host computer uploads the data and compiled …",zztMv4oBjpcJ,"D Chatterjee, A DeOrio, V Bertacco - Proceedings of the 46th Annual …, 2009 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/1629911.1630056,unknown,unknown
Lecsim: A levelized event driven compiled logic simulation,"Z Wang, PM Maurer",1991,113,"… The levelized compiled simulation technique takes a totally … by a separate simulation kernel, compiled simulation translates … a new simulator LECSIM, a LEvelized event driven Compiled …",WG8EQb76Uu0J,"Z Wang, PM Maurer - Proceedings of the 27th ACM/IEEE Design …, 1991 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/123186.123349,unknown,unknown
High-speed event-driven rtl compiled simulation,"A Kupriyanov, F Hannig, J Teich",2004,25,"… level compiled simulation technique where the simulator is … the application program is compiled prior to simulator run-time. … compiled simulation, particularly Levelized Compiled Code (…",DsfKJNspAIIJ,"A Kupriyanov, F Hannig, J Teich - International Workshop on Embedded …, 2004 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-540-27776-7_53,unknown,unknown
INCA: a next-generation architecture for simulation,"J Lawrence, C Ussery",1996,5,"… -language, event-driven, HDLbased simulation has been … a centralized kernel, as we will see in the following section. … many different techniques including levelized compiled code, …",8Y_S824u1y4J,"J Lawrence, C Ussery - Proceedings. IEEE International Verilog …, 1996 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/496012/,unknown,unknown
GL0AM: GPU logic simulation using 0-delay and re-simulation acceleration method,"Y Zhang, H Ren, B Khailany",2024,7,"… combinational gates when levelized in the simulation graph. In … many baseline commercial simulators are event-driven, and … For the re-simulation phase, we choose a kernel where the …",2L77FFNKuI0J,"Y Zhang, H Ren, B Khailany - Proceedings of the 43rd IEEE/ACM …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3676536.3676675,unknown,unknown
A general method for compiling event-driven simulations,"RS French, MS Lam, JR Levitt, K Olukotun",1995,73,… Using this simulator we demonstrate improved performance vs. a commercial … Event-driven simulation and levelized compiled simulation are two well-known simulation techniques that …,5wAIjtUDlnsJ,"RS French, MS Lam, JR Levitt, K Olukotun - Proceedings of the 32nd …, 1995 - dl.acm.org",[],https://dl.acm.org/doi/pdf/10.1145/217474.217522,unknown,unknown
Accelerating Hardware Simulation on Multi-cores,M Nanjundappa,2010,5,"… parallel simulation is an extension of Event driven simulation … propose a levelized, event-driven compiled code simulator in … the simulation semantics of SystemC simulation kernel. For …",bVQKxC4DpOgJ,M Nanjundappa - 2010 - vtechworks.lib.vt.edu,[],https://vtechworks.lib.vt.edu/items/186b1fa4-2923-41bd-bc04-18760b94ca71,unknown,unknown
High performance gate-level simulation with gp-gpu computing,"V Bertacco, D Chatterjee",2011,7,"… In a levelized netlist, many gates can be independently … OVERVIEW GCS is designed as a hybrid event-driven simulator… netlist as input and generates kernels that can be executed on a …",h65e1a8wQdsJ,"V Bertacco, D Chatterjee - Proceedings of 2011 International …, 2011 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/5783577/,unknown,unknown
Compiled code in distributed logic simulation,"J Wang, C Tropper",2006,6,"… of using compiled code in distributed event-driven logic simulation. As … in which the event-driven simulation kernel is retained, but … SSIM: a software levelized compiled-code …",QGzlExvYlqMJ,"J Wang, C Tropper - … of the 2006 Winter Simulation Conference, 2006 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/4117709/,unknown,unknown
Event driven simulation without loops or conditionals,PM Maurer,2000,24,"… The simulation kernel has two types of statements, assignments … To a person reading the simulation kernel, it is not apparent that … : A Levelized Event Driven Compiled Logic Simulator,” …",7uvlDNjt3fUJ,"PM Maurer - IEEE/ACM International Conference on Computer …, 2000 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/896445/,unknown,unknown
Online SystemC emulation acceleration,"S Sirowy, C Huang, F Vahid",2010,15,"… bytecode virtual machine, an event-driven kernel, and access to … in C++ to test our heuristics, and applied the simulator to … LECSIM: a Levelized event driven compiled logic simulation.)…",yvx3SqgGLR4J,"S Sirowy, C Huang, F Vahid - … of the 47th Design Automation Conference, 2010 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/1837274.1837284,unknown,unknown
A GPU-based discrete event simulation kernel,"W Tang, Y Yao",2013,30,"… But this pioneer work only uses the concept of event-driven … The authors introduce a dedicated compilation phase so that … kernel and the proposed gDES, we use the ROSS simulator, …",dl-JuRycYecJ,"W Tang, Y Yao - Simulation, 2013 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0037549713508839,unknown,unknown
The shadow algorithm: A scheduling technique for both compiled and interpreted simulation,PM Maurer,1993,14,"… for our interpreted event-driven simulator. The shadow … be incorporated into a small “simulation kernel.” By also including a few … Wang and PM Maurer, “LECSIM: A levelized event driven …",11rJ9luVU-YJ,"PM Maurer - IEEE transactions on computer-aided design of …, 1993 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/240088/,unknown,unknown
Efficient event-driven simulation by exploiting the output observability of gate clusters,PM Maurer,2003,9,"… divided into two broad categories, levelized compiled code simulation [1] and event-driven … would be used in a more conventional simulation kernel, while the metamorphic subroutines …",IJdhI2DsZzkJ,"PM Maurer - IEEE Transactions on Computer-Aided Design of …, 2003 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/1240087/,unknown,unknown
Ravel-XL: a hardware accelerator for assigned-delay compiled-code logic gate simulation,"MA Riepe, JPM Silva, KA Sakallah…",1996,12,"… on levelized-code scheduling, it is not limited to zero- or unit-delay gate models and can provide timing accuracy comparable to that obtained from event-driven … into the simulator kernel, …",hHSypfi82RQJ,"MA Riepe, JPM Silva, KA Sakallah… - IEEE transactions on …, 1996 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/486085/,unknown,unknown
Dynamic acceleration management for SystemC emulation,"S Sirowy, C Huang, F Vahid",2009,4,"… engines in an emulation framework, where the kernel must adapt … parallel frameworks for general event-driven simulation. Fujimoto [6… Wang [20] uses compiled simulation to eliminate …",3nlxd8ofC7MJ,"S Sirowy, C Huang, F Vahid - ACM SIGBED Review, 2009 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/1851340.1851345,unknown,unknown
Efficient circuit partitioning to extend cycle simulation beyond synchronous circuits,DeVane,1997,23,"… where simulation of timing is not needed, levelized compiled … event-driven simulator, but still falls short of cycle simulation. … These partitions are the kernels of the clock-triggered parti…",zWtndbC2YusJ,"DeVane - 1997 Proceedings of IEEE International Conference …, 1997 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/643400/,unknown,unknown
Distributed Event-driven Simulation,BJ Overeinder,2000,8,… kernels and the GRAIL finite-element model simulation. Dynamic load balancing of optimistic parallel Time Warp simulations … simulation method. Experiments with optimistic parallel …,sD3uZKo000UJ,"BJ Overeinder - Unpublished Doctoral dissertation …, 2000 - uva.computationalscience.nl",[],https://uva.computationalscience.nl/papers/archive/Overeinder2000a.pdf,unknown,unknown
Controlling state explosion in static simulation by selective composition,"PP Chakrabarti, P Dasgupta, PP Das…",1999,1,"… event driven simulation and levelized compiled simulation have … However, the event driven kernel is not eliminated any more. … leave such aspects to the event driven simulator to handle. …",J39sNtCo6KgJ,"PP Chakrabarti, P Dasgupta, PP Das… - … Conference on VLSI …, 1999 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/745152/,unknown,unknown
Gate-level simulation with GPU computing,"D Chatterjee, A Deorio, V Bertacco",2011,44,… a hybrid simulator design for GCS that uses event-driven simulation at a … must be levelized at the granularity of macrogates as well. … testbench kernels and software kernels emulating a …,cuM4fslKeZIJ,"D Chatterjee, A Deorio, V Bertacco - ACM Transactions on Design …, 2011 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/1970353.1970363,unknown,unknown
